"cnpj","endereco","numero","complemento","bairro","cd_municipio","uf","cep"
"33416941000160","QUADRA 25 CONJUNTO E 14","14","","PARANOA","9701","DF","71572505"
"12576800000134","DEL LAGO I QUADRA 35 LOTE 04","04","","ITAPOA","9701","DF","71590000"
"12583535000111","QUADRA 309 CONJUNTO 2 01","01","","RECANTO DAS EMAS","9701","DF","72622202"
"12593178000172","QI 9 BLOCO A 22b","22b","LOJA 22B","GUARA I","9701","DF","71020618"
"12604731000125","QS 16 CONJUNTO 7 cs 02","cs 02","","RIACHO FUNDO I","9701","DF","71825607"
"12613765000186","SHC/SW CLSW 102 BLOCO A LOJA 74","74","      E LOJA 78 TERREO","SETOR SUDOESTE","9701","DF","70670511"
"12628454000190","SCC S/N LOTE LOTE PROJECAO 12 SN","SN","SALA 603","SETOR CENTRAL","9701","DF","72404904"
"12657791000106","QR 404 CONJUNTO 5 10","10","","SAMAMBAIA NORTE","9701","DF","72318106"
"33418495000122","QR 410 CONJUNTO 1 29","29","LOJA","SAMAMBAIA NORTE (SAMAMBAIA)","9701","DF","72320001"
"33418951000134","QUADRA 2 CONJUNTO 10 01","01","CASA 10;SETOR LESTE","SETOR LESTE (VILA ESTRUTURAL)","9701","DF","71261150"
"12680491000148","QNR 4 CONJUNTO C 13","13","LOTE 13","CEILANDIA NORTE","9701","DF","72275456"
"12688740000141","QNN 4 CONJUNTO C 02","02","","CEILANDIA SUL","9701","DF","72220043"
"12690130000182","QNP 26 CONJUNTO N 16","16","","CEILANDIA SUL","9701","DF","72235614"
"33420056000154","PRIVE LUCENA RORIZ mod02","mod02","CASA 14B;SETOR rua4","CEILANDIA NORTE (CEILANDIA)","9701","DF","72268000"
"12702611000160","QR 421 CONJUNTO 15 S/N","S/N","LOTE 01;LOJA 01","SAMAMBAIA NORTE (SAMAMBAIA)","9701","DF","72325118"
"12707053000126","QNP 34 CONJUNTO J 02","02","CASA","CEILANDIA SUL","9701","DF","72236410"
"12708741000100","QNA 51 01","01","LOJA ;LOTE 01","TAGUATINGA NORTE","9701","DF","72110510"
"12709583000103","SCLRN 716 BLOCO D 103","103","APT 103","ASA NORTE","9701","DF","70770534"
"12722656000105","QNG 8 SN","SN","LOTE 09","TAGUATINGA NORTE (TAGUATINGA)","9701","DF","72130080"
"12725585000196","QNP 19 CONJUNTO D 50","50","CASA 50","CEILANDIA NORTE","9701","DF","72241804"
"12727977000194","ESPECIAL 1 03","03","","CEILANDIA NORTE","9701","DF","72215000"
"12736315000180","QUADRA 405 cs 22","cs 22","CONJ 05","RECANTO DAS EMAS","9701","DF","72631100"
"12738334000146","QS 3 LOTE 11","11","      LOJA 04/08","AREAL (AGUAS CLARAS)","9701","DF","71953000"
"33421270000125","QUADRA 6 CONJUNTO 10 28","28","SETOR LESTE;LOJA 02","SETOR LESTE (VILA ESTRUTURAL)","9701","DF","71261750"
"12781668000100","QNN 4 SN","SN","CONJ G;CASA 20","CEILANDIA SUL","9701","DF","72220040"
"33422011000119","QE 40 CONJUNTO D 102","102","CONJ lote 9","GUARA II","9701","DF","71070042"
"12832849000100","QR 302 CONJUNTO A 02","02","LOTE","SANTA MARIA","9701","DF","72502501"
"12866074000194","QR 316 CONJUNTO A SN","SN","LOTE 07;SETOR NORT","SANTA MARIA","9701","DF","72546601"
"12871689000109","QNL 15 CS 15","CS 15","CONJ I","TAGUATINGA NORTE","9701","DF","72151600"
"12871942000124","QNO 18 CONJUNTO 14 LT 14","LT 14","LOTE 14","CEILANDIA NORTE","9701","DF","72260814"
"12878453000102","DA TELEBRASILIA 8","8","CONJ 8;CASA 12","VILA DA TELEBRASILIA","9701","DF","70210000"
"12884911000108","QUADRA 2 CONJUNTO D-15 205","205","BLOCO B;APT 205","SOBRADINHO","9701","DF","73015415"
"12890942000171","MESTRE D'ARMAS SN","SN","LOTE 03;LOJA 05","SETOR RESIDENCIAL MESTRE D'ARMAS","9701","DF","73330155"
"33423995000152","QR 210 CONJUNTO 15 03","03","APT 101","SAMAMBAIA NORTE (SAMAMBAIA)","9701","DF","72316216"
"12925801000147","QUADRA 201 CONJUNTO 2 06","06","LOJA 01","RECANTO DAS EMAS","9701","DF","72610102"
"12924952000180","CENTRAL SETOR HOTELEIRO BLOCO (COMERCIO) 3 148","148","LOJA","SOBRADINHO","9701","DF","73010533"
"12930683000165","QUADRA 2 CONJUNTO E 05","05","","SETOR RESIDENCIAL LESTE","9701","DF","73350205"
"12931987000147","SCRN 716 BLOCO G 102","102","QUADRA","ASA NORTE","9701","DF","70770670"
"12932830000136","QS 6 CONJUNTO 10 20","20","CASA","RIACHO FUNDO I","9701","DF","71820610"
"12967583000103","QS 11 CONJUNTO O 16","16","","AREAL (AGUAS CLARAS)","9701","DF","71980540"
"13044228000125","SHCES QUADRA 405 BLOCO C -","-","LOJA 4","CRUZEIRO NOVO","9701","DF","70650453"
"13062845000153","AC 401 MODULO 3 00","00","","SANTA MARIA","9701","DF","72501123"
"13075447000171","QC 1 CONJUNTO 7 19","19","","RIACHO FUNDO II","9701","DF","71882017"
"13076530000165","CENTRAL AREA ESPECIAL 12 SN","SN","BLOCO J;LOJA 3","NUCLEO BANDEIRANTE","9701","DF","71710580"
"13095743000134","CLN 310 BLOCO B 60","60","LOJA 60","ASA NORTE","9701","DF","70756520"
"13131022000132","QUADRA 16 CONJUNTO F 35","35","CASA conj","PARANOA","9701","DF","71571606"
"13157157000177","QI 5 BLOCO B 104","104","LOTE 29;APT","GUARA I","9701","DF","71020624"
"13162001000184","CLN 309 BLOCO C 80","80","","ASA NORTE","9701","DF","70755530"
"13172136000120","QUADRA 3 CONJUNTO H 21","21","LOJA E","SETOR RESIDENCIAL LESTE (PLANALTINA)","9701","DF","73350308"
